settings,"Unit 4 Quiz: Writing","Test your understanding of all 7 lessons from Unit 4 — Writing!",0,minutes,,3,70,15,,question_pagination,sorting,,200
question,"What is the PURPOSE of opinion writing?","",single_choice,1.0,1,1,1,1,"The purpose of opinion writing is to share your view AND convince the reader to agree with you by giving strong reasons and details. Unlike informational writing (which just informs), opinion writing is persuasive -- you are trying to change or influence what the reader thinks."
answer,"To entertain the reader with an exciting made-up story",,0,0,a,0
answer,"To explain a topic using only facts and definitions",,0,0,b,1
answer,"To share your view and convince the reader with reasons and details",,1,0,c,2
answer,"To describe a real event in the order it happened",,0,0,d,3
question,"Which sentence is the BEST opinion statement for a paragraph?","",single_choice,1.0,1,1,1,1,"'I believe that students should have at least 30 minutes of free reading time every day' is the best opinion statement because it clearly states a specific view in a complete sentence. 'Reading is good' is too vague. 'Books have pages and words' is a fact, not an opinion. 'Some people like reading' doesn't state the writer's view."
answer,"Reading is good.",,0,0,a,0
answer,"I believe that students should have at least 30 minutes of free reading time every day.",,1,0,b,1
answer,"Books have pages and words in them.",,0,0,c,2
answer,"Some people like reading and some people don't.",,0,0,d,3
question,"Which linking word would BEST connect a second reason in an opinion paragraph?","",single_choice,1.0,1,1,1,1,"'Furthermore' is a linking word used to introduce an additional reason, making it perfect for connecting a second or third reason in an opinion paragraph. 'However' is used for contrast. 'For example' introduces examples. 'In conclusion' signals the end of the piece."
answer,"However",,0,0,a,0
answer,"For example",,0,0,b,1
answer,"Furthermore",,1,0,c,2
answer,"In conclusion",,0,0,d,3
question,"What is the main difference between OPINION writing and INFORMATIONAL writing?","",single_choice,1.0,1,1,1,1,"Opinion writing shares the writer's personal view and tries to persuade the reader. Informational writing shares facts and explains a topic without personal opinions -- the writer's own views do not appear. In informational writing, you would not use phrases like 'I believe' or 'I think'."
answer,"Opinion writing uses longer sentences than informational writing",,0,0,a,0
answer,"Opinion writing tries to persuade; informational writing explains facts without personal views",,1,0,b,1
answer,"Informational writing always uses dialogue; opinion writing never does",,0,0,c,2
answer,"They are the same type of writing with different names",,0,0,d,3
question,"In narrative writing, what is the CONFLICT?","",single_choice,1.0,1,1,1,1,"The conflict is the problem or challenge that the main character faces in a story. It is what creates tension and keeps the reader engaged. Without a conflict, nothing interesting happens in the story! The conflict appears in the middle section and is resolved at the end."
answer,"The setting where the story takes place",,0,0,a,0
answer,"The description of what the main character looks like",,0,0,b,1
answer,"The problem or challenge that the main character faces",,1,0,c,2
answer,"The first sentence of the story that introduces the characters",,0,0,d,3
question,"Which sentence uses the 'SHOW, DON'T TELL' technique effectively?","",single_choice,1.0,1,1,1,1,"'Her hands shook and she pressed herself against the wall, hardly daring to breathe' SHOWS fear through specific physical actions and details -- the reader feels it without being told. 'She was scared' just TELLS us the emotion without any vivid detail. Showing through specific actions and sensory details is a hallmark of strong narrative writing."
answer,"She was scared.",,0,0,a,0
answer,"He felt happy about the news.",,0,0,b,1
answer,"Her hands shook and she pressed herself against the wall, hardly daring to breathe.",,1,0,c,2
answer,"The weather was bad outside.",,0,0,d,3
